nome;data_nascimento;area;posicao;formacao;genero;lider;qtd_liderados;custo_mensal
Rebeca Teixeira;22/03/1973;Jurídico;Gerente;Tecnólogo;Feminino;0;0;5340
Calebe Correia;14/03/1974;Marketing;Diretor;Fundamental;Feminino;0;0;8628
Lucas Pinto;22/10/1986;Financeiro;Analista;Graduação;Feminino;0;0;5141
Gustavo Cardoso;17/08/1978;Vendas;Estagiário;Doutorado;Feminino;1;30;14894
Leandro Dias;27/06/1965;Vendas;Estagiário;Fundamental;Feminino;0;0;13246
Sr. João Guilherme Ribeiro;09/04/1972;Jurídico;C-level;Doutorado;Feminino;1;2;11384
Luiz Henrique Caldeira;02/01/1969;Financeiro;C-level;Fundamental;Feminino;0;0;7497
Lavínia Novaes;26/03/1986;Jurídico;Estagiário;Doutorado;Feminino;0;0;16166
Isabelly Gomes;18/09/1985;Logística;Assistente;Doutorado;Masculino;0;0;4959
Guilherme Porto;11/11/1964;Logística;Coordenador;Ensino Médio;Feminino;0;0;16456
Vicente Moraes;20/10/1989;RH;Analista;Ensino Médio;Feminino;0;0;16412
Arthur Silva;08/10/1993;TI;Diretor;Ensino Médio;Masculino;0;0;14262
Sarah Gomes;10/02/1977;Jurídico;C-level;Fundamental;Feminino;0;0;17751
João Guilherme Rocha;16/07/1998;Financeiro;Estagiário;Doutorado;Feminino;0;0;6561
Thiago Azevedo;31/03/1983;RH;Estagiário;Mestrado;Masculino;0;0;6133
Elisa Silva;14/08/1963;Logística;Diretor;Tecnólogo;Feminino;1;25;16945
João Guilherme Barbosa;28/06/1997;Financeiro;Analista;Mestrado;Masculino;0;0;10369
Bruna Peixoto;05/05/2007;RH;Gerente;Fundamental;Masculino;0;0;14706
Melissa Cardoso;31/10/1968;Jurídico;Estagiário;Graduação;Feminino;0;0;15188
Antônio Pinto;16/11/1990;Jurídico;C-level;Doutorado;Masculino;0;0;4022
Dr. Lucas Gabriel Pires;09/08/1974;Jurídico;Coordenador;Fundamental;Masculino;0;0;12198
Maria Eduarda Moreira;08/07/1968;Marketing;Assistente;Graduação;Feminino;0;0;8572
Dra. Gabrielly Cunha;01/05/1985;Jurídico;Gerente;Tecnólogo;Feminino;0;0;8293
Brenda Pereira;04/12/1960;TI;Analista;Graduação;Masculino;0;0;9363
Srta. Lívia Martins;18/04/1981;Financeiro;Diretor;Tecnólogo;Feminino;0;0;4728
Lara Cunha;16/04/1965;Jurídico;C-level;Ensino Médio;Masculino;0;0;15842
Dr. Paulo Lima;22/02/1968;Produção;C-level;Graduação;Feminino;0;0;8641
Gabrielly Souza;04/11/1968;Vendas;Assistente;Doutorado;Masculino;1;2;15349
Ryan Ferreira;27/03/2005;Financeiro;Diretor;Ensino Médio;Masculino;0;0;3992
Miguel Cunha;15/10/1991;Operações;Assistente;Mestrado;Masculino;0;0;9885
Maria Vitória Alves;20/04/1987;Operações;Diretor;Graduação;Masculino;0;0;11478
Gustavo Henrique Silveira;10/05/1993;Jurídico;C-level;Ensino Médio;Feminino;0;0;11461
Ryan Barbosa;23/06/1993;Jurídico;Analista;Fundamental;Feminino;0;0;11037
Renan Cavalcanti;01/07/1986;Produção;Estagiário;Ensino Médio;Feminino;0;0;5888
Larissa Novaes;10/01/1960;Logística;Diretor;Ensino Médio;Feminino;1;36;10406
Felipe Barros;03/03/1966;Financeiro;Analista;Fundamental;Feminino;0;0;12844
Melissa Moreira;08/04/1968;RH;Assistente;Mestrado;Feminino;0;0;18745
Pietro Lopes;02/12/1999;RH;Diretor;Mestrado;Feminino;0;0;12616
Francisco da Rosa;14/04/1964;Produção;Coordenador;Fundamental;Masculino;0;0;8437
Sr. Enzo Gabriel Moreira;28/11/1986;Operações;Coordenador;Tecnólogo;Masculino;0;0;6227
Luigi Freitas;10/06/1985;Financeiro;Gerente;Fundamental;Feminino;0;0;6426
Pedro Miguel Nogueira;06/05/1983;Vendas;Gerente;Fundamental;Masculino;0;0;11340
Gustavo Henrique Moura;09/03/1995;Jurídico;Gerente;Mestrado;Masculino;0;0;17459
Camila Ferreira;31/08/1992;Marketing;Coordenador;Mestrado;Masculino;0;0;2759
Alexia Barbosa;19/04/1961;TI;Coordenador;Tecnólogo;Feminino;0;0;16256
Kamilly Moraes;15/04/1992;Marketing;Assistente;Mestrado;Masculino;0;0;18715
João Vitor Nascimento;10/01/1988;Marketing;Coordenador;Mestrado;Feminino;1;21;10389
Alana Campos;08/12/1995;TI;Diretor;Ensino Médio;Feminino;0;0;8902
Sra. Amanda da Mata;16/06/1976;RH;Diretor;Mestrado;Masculino;0;0;5742
Rebeca da Rosa;18/12/1962;Jurídico;Coordenador;Fundamental;Masculino;0;0;16500
Bianca Moura;11/02/1972;Vendas;Gerente;Tecnólogo;Feminino;0;0;19085
Joaquim Teixeira;30/03/1995;TI;Analista;Graduação;Masculino;0;0;9720
Maria Vitória Campos;17/03/1997;Vendas;Estagiário;Doutorado;Feminino;0;0;13190
Luiz Gustavo Silva;04/10/1995;Operações;Estagiário;Ensino Médio;Masculino;0;0;8811
João Guilherme Moreira;23/12/1998;Logística;Diretor;Ensino Médio;Feminino;0;0;18825
Sophia Pinto;30/07/2004;Financeiro;C-level;Mestrado;Feminino;0;0;17541
Sra. Marina Gomes;22/03/1963;Marketing;Diretor;Graduação;Masculino;0;0;2702
Maria Alice Gonçalves;18/11/2005;Financeiro;Estagiário;Ensino Médio;Masculino;0;0;6682
Nicolas Almeida;31/01/1982;TI;Analista;Mestrado;Masculino;1;28;13230
Maria Sophia Moreira;19/05/1989;TI;C-level;Graduação;Feminino;0;0;9008
Mariana Monteiro;01/03/1978;Vendas;Analista;Fundamental;Masculino;0;0;15225
Maria Lopes;25/11/2001;Jurídico;Gerente;Fundamental;Masculino;0;0;9793
Srta. Maria Eduarda da Mata;01/10/1963;Jurídico;Diretor;Ensino Médio;Masculino;0;0;18596
Luiz Henrique Rodrigues;11/11/1977;Produção;Analista;Tecnólogo;Masculino;1;25;11756
Sr. Matheus Moura;19/06/1978;RH;Estagiário;Doutorado;Feminino;0;0;2453
Francisco Sales;10/12/1988;TI;Gerente;Mestrado;Feminino;0;0;4789
Sophie Rodrigues;25/05/1967;Jurídico;Diretor;Tecnólogo;Masculino;0;0;5169
Davi Luiz Araújo;14/11/1969;Operações;Gerente;Fundamental;Masculino;0;0;4838
Eloah Santos;03/04/1964;Operações;Coordenador;Ensino Médio;Feminino;0;0;19976
Marina da Paz;13/01/1968;Produção;Analista;Doutorado;Feminino;0;0;10026
Danilo da Paz;29/01/1989;Financeiro;Estagiário;Tecnólogo;Masculino;0;0;15413
Bryan Gonçalves;12/11/1962;Jurídico;C-level;Graduação;Feminino;0;0;11694
Ana Viana;14/07/1996;Produção;Analista;Fundamental;Masculino;1;15;19464
Letícia Melo;24/01/1976;Jurídico;Estagiário;Tecnólogo;Feminino;0;0;12796
Maysa da Mota;07/02/1967;Financeiro;Coordenador;Doutorado;Feminino;0;0;9443
Mirella Freitas;06/06/1970;Logística;Estagiário;Ensino Médio;Masculino;0;0;10598
Stephany Nunes;10/08/2006;RH;Estagiário;Tecnólogo;Feminino;0;0;11710
Mariane Porto;30/11/2000;Financeiro;Estagiário;Doutorado;Feminino;0;0;19801
Dra. Maria Julia Castro;31/10/1995;TI;Coordenador;Tecnólogo;Feminino;0;0;6660
Sra. Bruna Carvalho;05/01/1983;Jurídico;Diretor;Doutorado;Feminino;1;42;16578
Dra. Sophia Souza;26/02/1995;RH;Coordenador;Ensino Médio;Masculino;0;0;12268
Isabella Martins;27/01/1962;RH;Assistente;Ensino Médio;Masculino;0;0;15419
André da Rosa;31/08/1994;Operações;Diretor;Mestrado;Feminino;0;0;16237
Diogo Ribeiro;25/09/1974;Marketing;C-level;Mestrado;Masculino;0;0;17645
Lucca Sales;02/08/1993;TI;Analista;Graduação;Masculino;1;13;12866
Júlia Pereira;26/09/1985;Produção;Gerente;Mestrado;Feminino;0;0;15970
Pedro da Costa;07/04/1969;TI;Coordenador;Fundamental;Masculino;0;0;8486
Maria Fernanda Moura;02/11/1975;Marketing;Assistente;Mestrado;Masculino;0;0;15784
Bryan Pires;17/04/1967;Logística;C-level;Ensino Médio;Feminino;0;0;9526
Yago Monteiro;05/04/2007;TI;Analista;Doutorado;Masculino;0;0;11440
Noah Gomes;29/01/1976;RH;Assistente;Doutorado;Feminino;0;0;4262
Caio Araújo;17/12/1989;Logística;Gerente;Doutorado;Masculino;0;0;5295
Dr. Davi Lucca Barros;12/06/2004;Jurídico;Coordenador;Ensino Médio;Feminino;0;0;3586
Sophie Viana;21/06/1985;Produção;Assistente;Fundamental;Masculino;0;0;3161
Pietra Cunha;23/07/1964;Jurídico;Gerente;Graduação;Masculino;0;0;19179
Esther Castro;26/10/1968;RH;Gerente;Ensino Médio;Masculino;1;15;17685
Kamilly da Cunha;08/05/2000;Operações;Assistente;Ensino Médio;Masculino;0;0;15898
Antônio da Cruz;09/07/1991;Financeiro;C-level;Doutorado;Masculino;0;0;14271
Carolina Ribeiro;27/06/1994;Operações;Estagiário;Doutorado;Masculino;0;0;7438
Maria Clara Ribeiro;29/04/1986;Logística;Analista;Fundamental;Masculino;0;0;7588
Helena Vieira;26/12/1986;Jurídico;Estagiário;Mestrado;Masculino;0;0;11080
Thiago Correia;13/01/2000;Produção;C-level;Ensino Médio;Feminino;0;0;5159
Mirella Nogueira;15/04/1978;RH;Assistente;Tecnólogo;Feminino;0;0;17567
Srta. Clarice Rocha;19/07/1969;TI;Gerente;Fundamental;Masculino;0;0;14425
Ana Luiza Souza;30/06/1963;TI;Diretor;Ensino Médio;Feminino;0;0;11227
